Date,Open,High,Low,Close ,Adj Close ,Volume
,,,,Close price adjusted for splits.,Adjusted close price adjusted for splits and dividend and/or capital gain distributions.,
20-Mar-26,207.5,207.54,204.32,205.37,205.37,"55,381,136"
20-Mar-26,207.4,207.54,204.32,205.37,205.37,"63,627,600"
19-Mar-26,207.06,209.12,206.05,208.76,208.76,"36,440,600"
18-Mar-26,213.93,215.14,208.83,209.87,209.87,"37,846,600"
17-Mar-26,212.82,215.7,212.43,215.2,215.2,"44,969,900"
16-Mar-26,208.35,212.72,207.45,211.74,211.74,"42,209,300"
13-Mar-26,209.61,210.56,206.22,207.67,207.67,"35,662,100"
12-Mar-26,210.39,211.71,208.15,209.53,209.53,"44,349,500"
11-Mar-26,215.71,217,211.35,212.65,212.65,"34,199,300"
10-Mar-26,214.19,215.65,212.43,214.33,214.33,"35,678,800"
9-Mar-26,210.45,213.82,207.11,213.49,213.49,"54,642,900"
6-Mar-26,214.99,217.32,212.53,213.21,213.21,"51,152,700"
5-Mar-26,215.98,220.47,215.59,218.94,218.94,"60,943,400"
4-Mar-26,210.47,217.54,210.15,216.82,216.82,"54,731,100"
3-Mar-26,203.1,209.18,202.48,208.73,208.73,"43,184,900"
2-Mar-26,204.55,209.73,203.46,208.39,208.39,"46,001,000"
27-Feb-26,206.83,210.33,205.2,210,210,"57,422,800"
26-Feb-26,210.73,211.05,205.35,207.92,207.92,"47,756,800"
25-Feb-26,210.46,211.59,208.93,210.64,210.64,"41,346,400"
24-Feb-26,205.47,210.36,203.25,208.56,208.56,"41,137,200"
23-Feb-26,208.1,208.43,203.11,205.27,205.27,"53,581,500"
20-Feb-26,204.76,211.17,203.75,210.11,210.11,"65,881,600"
19-Feb-26,203.8,205.64,202.81,204.86,204.86,"35,669,600"
18-Feb-26,202.07,206.86,201.51,204.79,204.79,"51,003,300"
17-Feb-26,198.13,201.74,196,201.15,201.15,"69,879,200"
13-Feb-26,198.88,201.16,197.28,198.79,198.79,"66,321,600"
12-Feb-26,203.96,203.96,197.56,199.6,199.6,"83,975,400"
11-Feb-26,208.06,208.57,202.49,204.08,204.08,"65,545,500"
10-Feb-26,208.8,212.65,206.41,206.96,206.96,"67,175,000"
9-Feb-26,208.97,212.81,203.35,208.72,208.72,"91,178,400"
6-Feb-26,202.7,211.44,200.31,210.32,210.32,"179,210,900"
5-Feb-26,224.91,226.31,220.38,222.69,222.69,"103,509,200"
4-Feb-26,238.86,238.86,231.82,232.99,232.99,"51,299,900"
3-Feb-26,244.98,246.35,235.45,238.62,238.62,"53,831,300"
2-Feb-26,238.31,245.63,238.17,242.96,242.96,"37,546,100"
30-Jan-26,239.89,243.32,237.64,239.3,239.3,"46,585,000"
29-Jan-26,242.82,243,236.74,241.73,241.73,"47,229,600"
28-Jan-26,246.37,247.78,241.53,243.01,243.01,"40,882,700"
27-Jan-26,239.69,244.88,238.08,244.68,244.68,"38,029,200"
26-Jan-26,239.98,240.95,237.54,238.42,238.42,"32,825,500"
23-Jan-26,234.96,240.45,234.57,239.16,239.16,"33,778,500"
22-Jan-26,234.05,235.72,230.9,234.34,234.34,"31,913,300"
21-Jan-26,231.09,232.3,226.88,231.31,231.31,"47,276,100"
20-Jan-26,233.76,235.09,229.34,231,231,"47,737,900"
16-Jan-26,239.09,239.57,236.41,239.12,239.12,"45,888,300"
15-Jan-26,239.31,240.65,236.63,238.18,238.18,"43,003,600"
14-Jan-26,241.15,241.28,236.22,236.65,236.65,"41,410,600"
13-Jan-26,246.53,247.66,240.25,242.6,242.6,"38,371,800"
12-Jan-26,246.73,248.94,245.96,246.47,246.47,"35,867,800"
9-Jan-26,244.57,247.86,242.24,247.38,247.38,"34,560,000"
8-Jan-26,243.06,246.41,241.88,246.29,246.29,"39,509,800"
7-Jan-26,239.61,245.29,239.52,241.56,241.56,"42,236,500"
6-Jan-26,232.1,243.18,232.07,240.93,240.93,"53,764,700"
5-Jan-26,228.84,234,227.18,233.06,233.06,"49,733,300"
2-Jan-26,231.34,235.46,224.7,226.5,226.5,"51,456,200"
31-Dec-25,232.91,232.99,230.12,230.82,230.82,"24,383,700"
30-Dec-25,231.21,232.77,230.2,232.53,232.53,"21,910,500"
29-Dec-25,231.94,232.6,230.77,232.07,232.07,"19,797,900"
26-Dec-25,232.04,232.99,231.18,232.52,232.52,"15,994,700"
24-Dec-25,232.13,232.95,231.33,232.38,232.38,"11,420,500"
23-Dec-25,229.06,232.45,228.73,232.14,232.14,"29,230,200"
22-Dec-25,228.61,229.48,226.71,228.43,228.43,"32,261,300"
19-Dec-25,226.76,229.13,225.58,227.35,227.35,"85,544,400"
18-Dec-25,225.71,229.23,224.41,226.76,226.76,"50,272,400"
17-Dec-25,224.66,225.19,220.99,221.27,221.27,"44,034,400"
16-Dec-25,223.04,223.66,221.13,222.56,222.56,"39,298,900"
15-Dec-25,227.93,227.93,221.5,222.54,222.54,"47,286,100"
12-Dec-25,229.87,230.08,225.12,226.19,226.19,"35,639,100"
11-Dec-25,230.71,232.11,228.69,230.28,230.28,"28,249,600"
10-Dec-25,228.81,232.42,228.46,231.78,231.78,"38,790,700"
9-Dec-25,226.84,228.57,225.11,227.92,227.92,"25,841,700"
8-Dec-25,229.59,230.83,226.27,226.89,226.89,"35,019,200"
5-Dec-25,230.32,231.24,228.55,229.53,229.53,"33,117,400"
4-Dec-25,232.77,233.5,226.8,229.11,229.11,"45,683,200"
3-Dec-25,233.35,233.38,230.61,232.38,232.38,"35,495,100"
2-Dec-25,235.01,238.97,233.55,234.42,234.42,"45,785,400"
1-Dec-25,233.22,235.8,232.25,233.88,233.88,"42,904,000"
28-Nov-25,231.24,233.29,230.22,233.22,233.22,"20,292,300"
26-Nov-25,230.74,231.75,228.77,229.16,229.16,"38,497,900"
25-Nov-25,226.38,230.52,223.8,229.67,229.67,"39,379,300"
24-Nov-25,222.56,227.33,222.27,226.28,226.28,"54,318,400"
21-Nov-25,216.35,222.21,215.18,220.69,220.69,"68,490,500"
20-Nov-25,227.05,227.41,216.74,217.14,217.14,"50,309,000"
19-Nov-25,223.74,223.74,218.52,222.69,222.69,"58,335,600"
18-Nov-25,228.1,230.2,222.42,222.55,222.55,"60,608,400"
17-Nov-25,233.25,234.6,229.19,232.87,232.87,"59,919,000"
14-Nov-25,235.06,238.73,232.89,234.69,234.69,"38,956,700"
13-Nov-25,243.05,243.75,236.5,237.58,237.58,"41,401,700"
12-Nov-25,250.24,250.37,243.75,244.2,244.2,"31,190,100"
11-Nov-25,248.41,249.75,247.23,249.1,249.1,"23,564,100"
10-Nov-25,248.34,251.75,245.59,248.4,248.4,"36,476,500"
7-Nov-25,242.9,244.9,238.49,244.41,244.41,"46,374,300"
6-Nov-25,249.16,250.38,242.17,243.04,243.04,"46,004,200"
5-Nov-25,249.03,251,246.16,250.2,250.2,"40,610,700"
4-Nov-25,250.38,257.01,248.66,249.32,249.32,"51,546,300"
3-Nov-25,255.36,258.6,252.9,254,254,"95,997,800"
31-Oct-25,250.1,250.5,243.98,244.22,244.22,"166,340,800"
30-Oct-25,227.06,228.44,222.75,222.86,222.86,"102,252,900"
29-Oct-25,231.67,232.82,227.76,230.3,230.3,"52,036,200"
28-Oct-25,228.22,231.49,226.21,229.25,229.25,"47,100,000"
27-Oct-25,227.66,228.4,225.54,226.97,226.97,"38,267,000"
24-Oct-25,221.97,225.4,221.9,224.21,224.21,"38,685,100"
23-Oct-25,219,221.3,218.18,221.09,221.09,"31,540,000"
22-Oct-25,219.3,220.01,216.52,217.95,217.95,"44,308,500"
21-Oct-25,218.43,223.32,217.99,222.03,222.03,"50,494,600"
20-Oct-25,213.88,216.69,213.59,216.48,216.48,"38,882,800"
17-Oct-25,214.56,214.8,211.03,213.04,213.04,"45,986,900"
16-Oct-25,215.67,218.59,212.81,214.47,214.47,"42,414,600"
15-Oct-25,216.62,217.71,212.66,215.57,215.57,"45,909,500"
14-Oct-25,215.56,219.32,212.6,216.39,216.39,"45,665,600"
13-Oct-25,217.7,220.68,217.04,220.07,220.07,"37,809,700"
10-Oct-25,226.21,228.25,216,216.37,216.37,"72,367,500"
9-Oct-25,225,228.21,221.75,227.74,227.74,"46,412,100"
8-Oct-25,222.92,226.73,221.19,225.22,225.22,"46,686,000"
7-Oct-25,220.88,222.89,220.17,221.78,221.78,"31,194,700"
6-Oct-25,221,221.73,216.03,220.9,220.9,"43,690,900"
3-Oct-25,223.44,224.2,219.34,219.51,219.51,"43,639,000"
2-Oct-25,221.01,222.81,218.95,222.41,222.41,"41,258,600"
