Date,Open,High,Low,Close ,Adj Close ,Volume
,,,,Close price adjusted for splits.,Adjusted close price adjusted for splits and dividend and/or capital gain distributions.,
19-Mar-26,304.01,308.06,302.35,307.13,307.13,"25,075,800"
18-Mar-26,309.27,312.47,306.93,307.69,307.69,"20,009,800"
17-Mar-26,305.86,311.42,305.5,310.92,310.92,"21,955,200"
16-Mar-26,304.35,306.49,303.02,305.56,305.56,"23,519,700"
13-Mar-26,307.01,307.69,300.44,302.28,302.28,"23,693,100"
12-Mar-26,306.82,308.94,301.03,303.55,303.55,"24,928,300"
11-Mar-26,306.75,311.42,305.92,308.7,308.7,"24,125,700"
10-Mar-26,306.17,309.51,305.57,307.04,307.04,"23,239,700"
9-Mar-26,0.21 Dividend ,,,,,
,Dividends on any given ex-date include regular and any special dividends,,,,,
9-Mar-26,294.36,306.8,294.08,306.36,306.36,"29,312,100"
6-Mar-26,296.09,300.53,295.18,298.52,298.31,"25,576,900"
5-Mar-26,303.04,303.3,297.99,300.88,300.67,"35,752,300"
4-Mar-26,302.89,305.47,300.75,303.13,302.92,"29,536,200"
3-Mar-26,298.59,303.94,296.71,303.58,303.37,"35,497,000"
2-Mar-26,303.23,308.49,301.3,306.52,306.3,"34,790,200"
27-Feb-26,304.14,312.37,303.8,311.76,311.54,"44,640,600"
26-Feb-26,312.64,313.14,302.35,307.38,307.16,"36,431,200"
25-Feb-26,312.06,313.64,309.44,312.9,312.68,"29,963,600"
24-Feb-26,310.52,312.27,305.93,310.9,310.68,"25,615,600"
23-Feb-26,319.05,319.52,309.87,311.49,311.27,"31,423,000"
20-Feb-26,304.32,316.5,303.9,314.98,314.76,"53,210,800"
19-Feb-26,301.82,305.47,300.04,302.85,302.64,"25,834,400"
18-Feb-26,302.09,305.38,301.25,303.33,303.12,"28,482,100"
17-Feb-26,300.04,304.44,296.25,302.02,301.81,"39,247,600"
13-Feb-26,307.73,308.63,303.71,305.72,305.5,"38,499,700"
12-Feb-26,312.09,316.24,307.2,309,308.78,"47,761,300"
11-Feb-26,318.97,321.06,309.66,310.96,310.74,"45,406,400"
10-Feb-26,320.97,321.67,314.61,318.58,318.36,"39,170,000"
9-Feb-26,320.93,327.7,317.26,324.32,324.09,"39,640,100"
6-Feb-26,327.18,330.38,319.92,322.86,322.63,"56,380,500"
5-Feb-26,312.22,332.69,306.46,331.25,331.02,"88,205,800"
4-Feb-26,342.96,343.31,328.52,333.04,332.81,"70,618,400"
3-Feb-26,347.34,349,337.47,339.71,339.47,"36,506,700"
2-Feb-26,336.22,344.83,335.63,343.69,343.45,"32,006,100"
30-Jan-26,340,340,332.29,338,337.76,"31,024,000"
29-Jan-26,340.3,342.29,326.54,338.25,338.01,"39,785,600"
28-Jan-26,336.06,337.54,331.94,336.01,335.77,"27,434,400"
27-Jan-26,335.37,337.91,333.48,334.55,334.31,"21,636,200"
26-Jan-26,327.81,335.84,327,333.26,333.03,"26,042,100"
23-Jan-26,332.49,333.69,327.45,327.93,327.7,"27,280,000"
22-Jan-26,334.45,335.15,328.75,330.54,330.31,"26,253,600"
21-Jan-26,320.92,332.48,319.35,328.38,328.15,"35,386,600"
20-Jan-26,320.87,327.73,320.43,322,321.77,"35,361,000"
16-Jan-26,334.41,334.65,327.7,330,329.77,"40,341,600"
15-Jan-26,337.65,337.69,330.74,332.78,332.55,"28,442,400"
14-Jan-26,335.06,336.52,330.48,335.84,335.6,"28,525,600"
13-Jan-26,334.95,340.49,333.62,335.97,335.73,"33,517,600"
12-Jan-26,325.8,334.04,325,331.86,331.63,"33,923,900"
9-Jan-26,327.09,330.83,325.8,328.57,328.34,"26,214,200"
8-Jan-26,328.97,330.32,321.5,325.44,325.21,"31,896,100"
7-Jan-26,314.36,326.15,314.19,321.98,321.75,"35,104,400"
6-Jan-26,316.4,320.94,311.78,314.34,314.12,"31,212,100"
5-Jan-26,317.66,319.02,314.63,316.54,316.32,"30,195,600"
2-Jan-26,316.9,322.5,310.33,315.15,314.93,"32,009,400"
