Date,Open,High,Low,Close ,Adj Close ,Volume
,,,,Close price adjusted for splits.,Adjusted close price adjusted for splits and dividend and/or capital gain distributions.,
19-Mar-26,612.15,613,602.26,606.7,606.7,"13,247,700"
18-Mar-26,616.34,622.65,614.61,615.68,615.68,"11,726,300"
17-Mar-26,627.99,636.55,621.7,622.66,622.66,"10,348,800"
16-Mar-26,0.525 Dividend ,,,,,
,Dividends on any given ex-date include regular and any special dividends,,,,,
16-Mar-26,632,634.75,623.1,627.45,627.45,"15,134,900"
13-Mar-26,623.89,629.17,609.55,613.71,613.18,"18,957,600"
12-Mar-26,648.75,653.5,636.9,638.18,637.63,"11,617,500"
11-Mar-26,654.76,659.12,648.36,654.86,654.3,"8,977,200"
10-Mar-26,653.56,660.3,649,654.07,653.51,"9,859,300"
9-Mar-26,634.78,647.75,626.78,647.39,646.84,"13,489,700"
6-Mar-26,647.9,649.47,636.11,644.86,644.31,"13,159,400"
5-Mar-26,661.93,670.7,650.31,660.57,660,"13,341,400"
4-Mar-26,657.96,672.77,657.67,667.73,667.16,"10,810,100"
3-Mar-26,648.29,659.04,638.84,655.08,654.52,"12,263,800"
2-Mar-26,637.16,659.94,634.5,653.56,653,"9,816,100"
27-Feb-26,643.45,649.44,638.12,648.18,647.63,"15,703,000"
26-Feb-26,650.55,661,647.5,657.01,656.45,"10,637,700"
25-Feb-26,642.53,653.88,642.14,653.69,653.13,"11,330,700"
24-Feb-26,633.08,641.11,628.98,639.3,638.75,"10,135,600"
23-Feb-26,652.54,657.7,636,637.25,636.7,"8,605,900"
20-Feb-26,639.69,663.35,638.78,655.66,655.1,"14,183,500"
19-Feb-26,638.57,647.19,636.72,644.78,644.23,"10,035,700"
18-Feb-26,633.8,645,628.15,643.22,642.67,"14,649,200"
17-Feb-26,639.5,642.6,628.8,639.29,638.74,"12,674,700"
13-Feb-26,645.1,651.43,634.57,639.77,639.22,"12,336,400"
12-Feb-26,669.97,676,645.28,649.81,649.25,"14,960,100"
11-Feb-26,674,679.27,657.1,668.69,668.12,"14,323,800"
10-Feb-26,677.6,680.65,669.79,670.72,670.15,"10,455,800"
9-Feb-26,663.18,683.31,658.78,677.22,676.64,"14,837,500"
6-Feb-26,665.49,671.99,646.5,661.46,660.89,"18,159,300"
5-Feb-26,663.58,681.5,653.5,670.21,669.64,"17,131,800"
4-Feb-26,687.73,688.83,667.46,668.99,668.42,"16,882,800"
3-Feb-26,707.37,717,686.41,691.7,691.11,"13,760,700"
2-Feb-26,714.6,721.3,703.52,706.41,705.81,"14,365,200"
30-Jan-26,727.5,732.17,713.59,716.5,715.89,"23,744,600"
29-Jan-26,737.43,744,712.55,738.31,737.68,"59,852,900"
28-Jan-26,674.5,677.68,666.1,668.73,668.16,"25,709,600"
27-Jan-26,674.59,676.82,664.66,672.97,672.39,"13,297,400"
26-Jan-26,665.13,675.28,661.29,672.36,671.78,"16,327,400"
23-Jan-26,644.77,666.49,644.45,658.76,658.2,"22,797,700"
22-Jan-26,629.35,660.57,626.55,647.63,647.08,"21,394,700"
21-Jan-26,606.74,618.27,600.08,612.96,612.44,"14,494,700"
20-Jan-26,607.88,611.4,600,604.12,603.6,"15,169,600"
16-Jan-26,624.18,629.08,620.08,620.25,619.72,"17,012,500"
15-Jan-26,618.48,624.17,614.23,620.8,620.27,"13,076,100"
14-Jan-26,626.5,628.45,614.82,615.52,614.99,"15,527,900"
13-Jan-26,642.27,642.27,624.1,631.09,630.55,"18,030,400"
12-Jan-26,652.53,653.97,641.23,641.97,641.42,"14,797,200"
9-Jan-26,645.44,654.95,642.85,653.06,652.5,"11,634,900"
8-Jan-26,645.88,647.1,635.72,646.06,645.51,"11,921,700"
7-Jan-26,655.64,659.15,644.81,648.69,648.14,"12,846,300"
6-Jan-26,659.57,665.52,651.9,660.62,660.05,"11,074,400"
5-Jan-26,651.01,664.54,647.75,658.79,658.23,"12,213,700"
2-Jan-26,662.73,664.39,643.5,650.41,649.85,"13,726,500"
31-Dec-25,664.75,665,659.44,660.09,659.53,"7,940,400"
30-Dec-25,658.69,672.22,657.84,665.95,665.38,"9,187,500"
29-Dec-25,658.01,660.25,654.39,658.69,658.13,"8,506,500"
26-Dec-25,668.06,668.95,661.32,663.29,662.72,"7,133,800"
24-Dec-25,662.53,668.18,662.2,667.55,666.98,"5,627,500"
23-Dec-25,660.05,666,658.25,664.94,664.37,"8,486,800"
22-Dec-25,661.65,673.58,656.65,661.5,660.93,"15,659,400"
19-Dec-25,666.42,671,658.18,658.77,658.21,"49,977,100"
18-Dec-25,657.03,670.56,656.46,664.45,663.88,"20,260,300"
17-Dec-25,655.61,661.23,649.2,649.5,648.94,"15,598,500"
16-Dec-25,643.5,662.54,643.2,657.15,656.59,"14,309,100"
15-Dec-25,0.525 Dividend ,,,,,
,Dividends on any given ex-date include regular and any special dividends,,,,,
15-Dec-25,645.7,653,638.7,647.51,646.96,"15,549,100"
12-Dec-25,649.8,711,638.61,644.23,643.15,"14,016,900"
11-Dec-25,643.29,655.28,640.8,652.71,651.62,"13,056,700"
10-Dec-25,649.95,654.51,643.4,650.13,649.04,"16,910,900"
9-Dec-25,663.77,664.48,653.34,656.96,655.86,"12,997,100"
8-Dec-25,669.34,676.71,665.07,666.8,665.69,"13,161,000"
5-Dec-25,664,674.69,662.39,673.42,672.3,"21,207,900"
4-Dec-25,676,676.1,660.05,661.53,660.43,"29,874,600"
3-Dec-25,644.41,648.85,637.55,639.6,638.53,"11,134,300"
2-Dec-25,642.34,647.87,638.07,647.1,646.02,"11,640,900"
1-Dec-25,639.55,645.32,637.76,640.87,639.8,"13,029,900"
28-Nov-25,636.08,648.05,635.5,647.95,646.87,"11,033,200"
26-Nov-25,637.69,638.36,631.63,633.61,632.55,"15,209,500"
25-Nov-25,624,637.05,618.3,636.22,635.16,"25,213,000"
24-Nov-25,598.72,616.7,597.63,613.05,612.03,"23,554,900"
21-Nov-25,588.5,598.12,581.86,594.25,593.26,"21,052,600"
20-Nov-25,603.5,606.72,583.35,589.15,588.17,"20,603,000"
19-Nov-25,593.72,595.33,581.25,590.32,589.33,"24,744,700"
18-Nov-25,591.6,603.66,583.78,597.69,596.69,"25,500,600"
17-Nov-25,609.04,611.69,595.4,602.01,601,"16,501,300"
14-Nov-25,601.79,613.68,595.2,609.46,608.44,"20,724,100"
13-Nov-25,613.07,617.65,603,609.89,608.87,"20,973,800"
12-Nov-25,628.13,628.99,607.77,609.01,607.99,"24,493,300"
11-Nov-25,628,629.56,619.39,627.08,626.03,"13,302,200"
10-Nov-25,631.09,635,618.11,631.76,630.71,"19,245,000"
7-Nov-25,616.49,622.13,601.2,621.71,620.67,"29,946,800"
6-Nov-25,635.85,636,618,618.94,617.91,"23,628,800"
5-Nov-25,632.31,642.23,626.54,635.95,634.89,"20,219,900"
4-Nov-25,628.04,641.74,626.01,627.32,626.27,"27,356,600"
3-Nov-25,656,659.33,636.18,637.71,636.65,"33,003,600"
31-Oct-25,674.51,674.89,645.57,648.35,647.27,"56,953,200"
30-Oct-25,669.15,680.96,650.17,666.47,665.36,"88,440,100"
29-Oct-25,754.75,759.16,742.51,751.67,750.41,"26,818,600"
28-Oct-25,752.63,758.4,745.52,751.44,750.19,"12,193,800"
27-Oct-25,749.73,755.75,748.01,750.82,749.57,"11,321,100"
24-Oct-25,736.79,741.21,731.15,738.36,737.13,"9,151,300"
23-Oct-25,734.7,742.41,733.1,734,732.77,"9,856,000"
22-Oct-25,733.83,740.6,724.03,733.41,732.19,"8,734,500"
21-Oct-25,736.02,738.5,728.75,733.27,732.05,"7,647,300"
20-Oct-25,721.19,733.77,720.18,732.17,730.95,"8,900,200"
17-Oct-25,707.08,718.54,706.12,716.92,715.72,"12,232,400"
16-Oct-25,717.55,725.49,703.88,712.07,710.88,"9,017,000"
15-Oct-25,717.06,723.9,709.51,717.55,716.35,"10,246,800"
14-Oct-25,707.78,715.55,699.33,708.65,707.47,"8,829,800"
13-Oct-25,713.01,719.94,707.64,715.7,714.51,"9,251,800"
10-Oct-25,730.92,735.27,704.51,705.3,704.12,"16,980,100"
9-Oct-25,718.28,733.51,712.44,733.51,732.29,"12,717,200"
8-Oct-25,713.45,719.65,707.81,717.84,716.64,"10,790,600"
7-Oct-25,717.72,718.5,705.75,713.08,711.89,"12,062,900"
6-Oct-25,705.19,716.88,690.51,715.66,714.47,"21,654,700"
3-Oct-25,729.63,731,710.18,710.56,709.37,"16,154,300"
2-Oct-25,722.58,727.77,718.14,727.05,725.84,"11,415,300"
1-Oct-25,721.49,721.85,710.2,717.34,716.14,"20,419,600"
30-Sep-25,742.25,742.97,726.3,734.38,733.15,"16,226,800"
29-Sep-25,748.72,750.78,739.15,743.4,742.16,"9,246,800"
26-Sep-25,750,751.93,737.35,743.75,742.51,"9,696,300"
25-Sep-25,753.45,756.77,744.55,748.91,747.66,"10,591,100"
24-Sep-25,757.5,761.11,752.53,760.66,759.39,"8,828,200"
23-Sep-25,769.25,770.6,751.07,755.4,754.14,"10,872,600"
22-Sep-25,0.525 Dividend ,,,,,
,Dividends on any given ex-date include regular and any special dividends,,,,,
22-Sep-25,781.85,785.73,764.47,765.16,763.88,"11,706,900"
