Date,Open,High,Low,Close ,Adj Close ,Volume
,,,,Close price adjusted for splits.,Adjusted close price adjusted for splits and dividend and/or capital gain distributions.,
19-Mar-26,94.31,95.75,90.78,91.74,91.74,"40,169,300"
18-Mar-26,94.45,95.34,93.61,94.7,94.7,"27,878,300"
17-Mar-26,95.3,96.34,94.01,94.36,94.36,"26,434,500"
16-Mar-26,95.58,96.1,94.36,95.2,95.2,"34,931,800"
13-Mar-26,94.64,95.68,94.24,95.31,95.31,"29,876,700"
12-Mar-26,94.86,95.4,93.87,94.31,94.31,"34,206,900"
11-Mar-26,97.41,98,94.69,94.89,94.89,"33,962,900"
10-Mar-26,97.81,98.49,96.29,96.94,96.94,"41,027,200"
9-Mar-26,97.7,98.94,96.58,98.32,98.32,"48,589,000"
6-Mar-26,99.33,99.88,97.4,99.02,99.02,"41,196,300"
5-Mar-26,98.5,100.19,98.1,99.17,99.17,"53,403,000"
4-Mar-26,97.11,99.75,96.99,98.66,98.66,"52,604,300"
3-Mar-26,96.01,98.46,95.33,97.7,97.7,"59,149,000"
2-Mar-26,95.26,98.07,95.2,97.09,97.09,"79,915,400"
27-Feb-26,94.3,96.75,90.58,96.24,96.24,"200,767,000"
26-Feb-26,83.2,86.5,82.8,84.59,84.59,"85,642,500"
25-Feb-26,79.43,83.12,79.25,82.7,82.7,"69,319,300"
24-Feb-26,75.73,78.12,75.21,78.04,78.04,"33,079,100"
23-Feb-26,77.79,77.83,75.01,76.02,76.02,"38,363,000"
20-Feb-26,76.61,78.85,76.4,78.67,78.67,"32,411,300"
19-Feb-26,77.75,78.7,76.59,77,77,"30,139,200"
18-Feb-26,77.32,78.32,76.28,77.99,77.99,"29,883,100"
17-Feb-26,76.92,77.87,75.3,77,77,"35,961,500"
13-Feb-26,76.14,77.18,75.53,76.87,76.87,"42,292,100"
12-Feb-26,79.11,79.15,75.23,75.86,75.86,"73,516,100"
11-Feb-26,81.96,82.48,79.45,79.62,79.62,"40,840,300"
10-Feb-26,82.72,84.66,82.09,82.21,82.21,"43,595,800"
9-Feb-26,82.18,82.21,79.87,81.47,81.47,"42,200,200"
6-Feb-26,81.02,82.49,80.65,82.2,82.2,"46,154,100"
5-Feb-26,81.49,83.3,80.54,80.87,80.87,"54,805,700"
4-Feb-26,79.99,81.44,79.23,80.16,80.16,"48,963,200"
3-Feb-26,82.23,82.45,79.62,79.94,79.94,"49,789,000"
2-Feb-26,83.53,85.27,82.72,82.76,82.76,"41,445,300"
30-Jan-26,83.1,84.06,82.78,83.49,83.49,"45,755,000"
29-Jan-26,84.31,84.38,82.35,83.16,83.16,"42,278,100"
28-Jan-26,85.63,86.47,84.3,84.64,84.64,"37,762,600"
27-Jan-26,85.28,85.6,83.88,85.58,85.58,"37,790,800"
26-Jan-26,86.92,86.94,85.35,85.7,85.7,"40,941,900"
23-Jan-26,83.43,86.3,83.28,86.12,86.12,"64,520,400"
22-Jan-26,85.02,85.1,82.98,83.54,83.54,"69,113,300"
21-Jan-26,82.52,86,81.93,85.36,85.36,"127,940,700"
20-Jan-26,88.97,89.9,87.02,87.26,87.26,"109,729,700"
16-Jan-26,88.34,88.51,87.78,88,88,"48,130,500"
15-Jan-26,89.02,89.89,87.82,88.05,88.05,"36,945,100"
14-Jan-26,91.24,91.58,87.95,88.55,88.55,"49,737,700"
13-Jan-26,89.44,91.15,89.07,90.32,90.32,"45,221,100"
12-Jan-26,89.69,90.34,89.33,89.41,89.41,"36,290,600"
9-Jan-26,90.03,90.05,88.32,89.46,89.46,"55,579,500"
8-Jan-26,90.45,91.25,89.58,90.53,90.53,"40,068,700"
7-Jan-26,91.56,92.42,90.06,90.73,90.73,"36,525,700"
6-Jan-26,91.54,91.64,89.74,90.65,90.65,"43,331,000"
5-Jan-26,90.92,92.63,90.84,91.46,91.46,"39,183,300"
2-Jan-26,94.13,94.13,90.81,90.99,90.99,"41,155,400"
31-Dec-25,93.6,94.31,93.2,93.76,93.76,"23,495,200"
30-Dec-25,93.52,93.99,93.34,93.78,93.78,"23,422,000"
29-Dec-25,93.99,94.97,93.63,94.15,94.15,"24,493,700"
26-Dec-25,93.48,94.69,93.27,94.47,94.47,"22,068,300"
24-Dec-25,93.11,93.68,92.67,93.64,93.64,"12,427,900"
23-Dec-25,93.4,93.81,91.33,93.5,93.5,"25,896,200"
22-Dec-25,94.71,94.71,92.91,93.23,93.23,"39,484,800"
19-Dec-25,93.57,95.54,93.45,94.39,94.39,"78,990,200"
18-Dec-25,95.02,95.81,93.59,94,94,"37,244,700"
17-Dec-25,95.98,97.33,94.46,94.79,94.79,"50,472,800"
16-Dec-25,93.88,94.93,93.32,94.57,94.57,"34,265,000"
15-Dec-25,96.02,96.37,93.53,93.77,93.77,"40,016,500"
12-Dec-25,95.5,96.92,94.65,95.19,95.19,"49,323,100"
11-Dec-25,93.9,94.82,92.76,94.09,94.09,"43,949,000"
10-Dec-25,96.74,96.97,92.35,92.71,92.71,"74,129,300"
9-Dec-25,97.03,97.24,95.45,96.71,96.71,"51,745,600"
8-Dec-25,99.87,99.89,95.3,96.79,96.79,"100,906,300"
5-Dec-25,98.78,104.79,97.74,100.24,100.24,"133,363,600"
4-Dec-25,103.57,103.8,101.77,103.22,103.22,"51,779,100"
3-Dec-25,106.59,106.87,102.03,103.96,103.96,"53,593,400"
2-Dec-25,109.21,109.73,107.52,109.35,109.35,"25,763,000"
1-Dec-25,106.51,109.34,106.31,109.13,109.13,"24,873,400"
28-Nov-25,106.44,107.94,106.24,107.58,107.58,"15,021,600"
26-Nov-25,105.74,106.95,105.22,106.14,106.14,"27,951,000"
25-Nov-25,106.12,106.3,103.82,104.4,104.4,"35,122,600"
24-Nov-25,104.25,108.04,103.32,106.97,106.97,"62,918,300"
21-Nov-25,105.13,106.53,103.81,104.31,104.31,"41,232,700"
20-Nov-25,111,111.1,105.39,105.67,105.67,"36,918,500"
19-Nov-25,113,113.34,108.61,110,110,"31,868,100"
18-Nov-25,110.29,115.25,109.2,114.09,114.09,"43,440,600"
17-Nov-25,10:1 Stock Splits ,,,,,
,Dividends on any given ex-date include regular and any special dividends,,,,,
17-Nov-25,110.75,111.85,109.55,110.29,110.29,"26,082,700"
14-Nov-25,114.27,114.27,110.72,111.22,111.22,"47,607,000"
13-Nov-25,115.85,116.73,114.57,115.42,115.42,"40,144,000"
12-Nov-25,113.82,116.43,112.83,115.75,115.75,"39,221,000"
11-Nov-25,111.76,113.92,111.28,113.64,113.64,"27,966,000"
10-Nov-25,110.67,112.82,110.4,112.01,112.01,"36,929,000"
7-Nov-25,109.42,110.82,108.75,110.37,110.37,"44,125,000"
6-Nov-25,109.46,110.37,108.51,109.7,109.7,"36,532,000"
5-Nov-25,108.5,110.08,107.34,109.85,109.85,"35,539,000"
4-Nov-25,110,110.46,108.67,109.3,109.3,"38,718,000"
3-Nov-25,113.32,113.35,107.51,110.01,110.01,"58,634,000"
31-Oct-25,110.54,113.49,110.2,111.89,111.89,"68,665,000"
30-Oct-25,109.44,110.62,108.81,108.9,108.9,"41,581,000"
29-Oct-25,109.98,110.86,109.6,110.04,110.04,"33,995,000"
28-Oct-25,109.4,111.7,109.3,110.25,110.25,"40,209,000"
27-Oct-25,110.07,110.23,108.73,109.46,109.46,"46,911,000"
24-Oct-25,111.1,111.45,109.44,109.47,109.47,"60,280,000"
23-Oct-25,112.69,112.78,109.97,111.36,111.36,"68,497,000"
22-Oct-25,114.29,115.76,111.25,111.64,111.64,"147,890,000"
21-Oct-25,124.28,124.86,123.18,124.14,124.14,"65,082,000"
20-Oct-25,120.79,124.78,120.69,123.86,123.86,"39,862,000"
17-Oct-25,118.36,120.31,117.89,119.94,119.94,"29,571,000"
16-Oct-25,121.21,121.67,117.6,118.36,118.36,"28,326,000"
15-Oct-25,121.3,121.96,120.16,120.33,120.33,"20,252,000"
14-Oct-25,121.47,122.43,120.31,121.54,121.54,"23,624,000"
13-Oct-25,122.14,123.11,120.68,121.9,121.9,"24,608,000"
10-Oct-25,122.9,124.7,121.91,122.01,122.01,"42,798,000"
9-Oct-25,121.43,123.75,121.18,123.11,123.11,"28,241,000"
8-Oct-25,119.71,121.74,119.2,121.43,121.43,"28,514,000"
7-Oct-25,117.78,120.14,117.75,119.11,119.11,"33,091,000"
6-Oct-25,116.04,116.36,114.54,116.33,116.33,"29,686,000"
3-Oct-25,116.5,116.8,114.32,115.33,115.33,"31,374,000"
2-Oct-25,116.15,116.33,113.4,116.25,116.25,"46,855,000"
1-Oct-25,117.55,117.91,116.32,117.09,117.09,"41,102,000"
30-Sep-25,120.64,120.85,117.8,119.89,119.89,"38,303,000"
29-Sep-25,120.5,122.45,118.75,120.64,120.64,"30,332,000"
26-Sep-25,120.54,121.4,120,121.06,121.06,"19,450,000"
25-Sep-25,120.31,121.68,119.15,120.82,120.82,"19,978,000"
24-Sep-25,121.86,122.15,119.42,120.39,120.39,"27,731,000"
23-Sep-25,122.73,122.78,120.85,121.85,121.85,"24,991,000"
22-Sep-25,122.19,122.98,121.42,122.74,122.74,"25,468,000"
19-Sep-25,121.86,123,120.81,122.7,122.7,"49,476,000"
18-Sep-25,122.08,123.3,120.55,120.78,120.78,"31,691,000"
17-Sep-25,122.1,123.39,120.66,122.85,122.85,"34,598,000"
16-Sep-25,120.56,120.9,119.73,120.05,120.05,"24,047,000"
15-Sep-25,118.84,120.72,117.32,120.23,120.23,"29,093,000"
12-Sep-25,120.31,121.18,118.24,118.84,118.84,"37,849,000"
11-Sep-25,125.1,125.35,119.2,120.35,120.35,"56,823,000"
10-Sep-25,126.4,126.7,124.64,124.77,124.77,"27,010,000"
9-Sep-25,124.67,126.57,124.67,126.32,126.32,"22,197,000"
8-Sep-25,124.85,125.2,123.2,124.48,124.48,"19,151,000"
5-Sep-25,126,126.71,123.9,124.38,124.38,"23,797,000"
4-Sep-25,122.32,125.75,122.31,125.75,125.75,"30,235,000"
3-Sep-25,120.51,122.7,120.34,122.62,122.62,"24,715,000"
2-Sep-25,119.7,121.54,118.28,121.41,121.41,"23,033,000"
29-Aug-25,122.8,122.88,120.11,120.82,120.82,"32,098,000"
28-Aug-25,122.28,123.79,121.43,123.14,123.14,"19,503,000"
27-Aug-25,122.36,122.92,121.3,122.35,122.35,"16,645,000"
26-Aug-25,122.02,123.15,121.22,122.61,122.61,"19,857,000"
25-Aug-25,120.17,123.38,119.9,121.81,121.81,"28,120,000"
