Date,Open,High,Low,Close ,Adj Close ,Volume
,,,,Close price adjusted for splits.,Adjusted close price adjusted for splits and dividend and/or capital gain distributions.,
19-Mar-26,44.19,44.84,43.53,44.19,44.19,"22,744,600"
18-Mar-26,45.62,46.08,44.55,44.59,44.59,"19,662,700"
17-Mar-26,45.84,46.98,45.74,46.13,46.13,"21,819,800"
16-Mar-26,45.25,45.9,45.19,45.42,45.42,"14,460,200"
13-Mar-26,44.21,45.25,44.17,44.9,44.9,"13,962,500"
12-Mar-26,45.3,46.07,44.34,44.36,44.36,"15,293,100"
11-Mar-26,45.45,46.14,44.8,45.57,45.57,"13,794,100"
10-Mar-26,45.61,45.82,44.81,45.02,45.02,"17,575,900"
9-Mar-26,46.05,46.53,44.96,46.16,46.16,"18,908,300"
6-Mar-26,47.17,47.73,46.35,46.97,46.97,"15,900,100"
5-Mar-26,46.49,47.92,46.49,47.64,47.64,"18,317,700"
4-Mar-26,0.14 Dividend ,,,,,
,Dividends on any given ex-date include regular and any special dividends,,,,,
4-Mar-26,46.05,47.33,45.93,46.75,46.75,"14,612,800"
3-Mar-26,44.73,46.96,44.66,46.38,46.24,"22,406,400"
2-Mar-26,44.82,45.96,44.64,45.63,45.49,"17,355,300"
27-Feb-26,45.81,46.42,45.42,46.21,46.07,"23,641,200"
26-Feb-26,47.5,47.73,44.49,45.53,45.39,"48,091,800"
25-Feb-26,47.38,48.5,46.44,47.32,47.18,"42,794,100"
24-Feb-26,43.49,48,43.03,47.02,46.88,"58,557,200"
23-Feb-26,41.04,45.69,40.53,44.05,43.92,"75,619,500"
20-Feb-26,41.58,42.81,41.51,41.65,41.52,"23,174,000"
19-Feb-26,41.1,41.79,40.85,41.73,41.6,"24,646,900"
18-Feb-26,40.77,41.76,40.59,41.45,41.32,"17,925,500"
17-Feb-26,40.5,41.6,40.37,40.81,40.69,"20,342,500"
13-Feb-26,39.24,40.37,39.09,40.29,40.17,"25,092,400"
12-Feb-26,40.28,40.28,38.46,39.08,38.96,"28,004,800"
11-Feb-26,41.5,41.62,40.01,40.46,40.34,"21,538,900"
10-Feb-26,40.75,42.35,40.75,41.49,41.36,"22,787,700"
9-Feb-26,40.21,41.27,39.81,41.15,41.03,"26,034,300"
6-Feb-26,40.25,40.61,39.38,40.42,40.3,"34,921,700"
5-Feb-26,40.6,41.01,38.88,39.9,39.78,"42,842,800"
4-Feb-26,41.6,41.84,39.96,41.03,40.91,"58,018,000"
3-Feb-26,42.88,43.7,41.43,41.7,41.57,"141,690,600"
2-Feb-26,52.5,53.44,52.32,52.33,52.17,"27,452,900"
30-Jan-26,52.44,52.95,52.06,52.69,52.53,"18,607,800"
29-Jan-26,54.12,54.17,52.53,53.11,52.95,"19,463,500"
28-Jan-26,55.01,55.49,53.65,54.08,53.92,"19,222,700"
27-Jan-26,56.5,56.63,55.21,55.51,55.34,"14,240,700"
26-Jan-26,56.57,57.12,56.49,56.6,56.43,"9,971,400"
23-Jan-26,56.83,56.99,56.41,56.62,56.45,"8,758,900"
22-Jan-26,56.59,57.55,56.55,57.15,56.98,"14,540,700"
21-Jan-26,55.52,56.33,55.1,55.89,55.72,"15,117,000"
20-Jan-26,55.58,56.08,55.01,55.08,54.91,"19,744,400"
16-Jan-26,56.79,56.97,56.24,56.89,56.72,"15,116,900"
15-Jan-26,57.74,57.86,56.6,56.74,56.57,"16,405,300"
14-Jan-26,56.4,57.79,56.27,57.66,57.49,"16,039,900"
