Date,Open,High,Low,Close,Adj Close,Volume
19-Mar-26,249.4,251.83,247.3,248.65,248.65,"13,821,252"
18-Mar-26,252.63,254.94,249.0,249.94,249.94,"35,715,200"
17-Mar-26,252.96,255.13,252.18,254.23,254.23,"32,361,600"
16-Mar-26,252.11,253.89,249.88,252.82,252.82,"32,074,200"
13-Mar-26,255.48,256.33,249.52,250.12,250.12,"36,930,000"
12-Mar-26,258.66,258.95,254.18,255.76,255.76,"40,794,000"
11-Mar-26,261.09,262.13,259.55,260.81,260.81,"26,218,900"
10-Mar-26,257.65,262.48,256.95,260.83,260.83,"30,590,800"
9-Mar-26,255.69,261.15,253.68,259.88,259.88,"38,218,500"
6-Mar-26,258.63,258.77,254.37,257.46,257.46,"41,120,000"
5-Mar-26,260.79,261.56,257.25,260.29,260.29,"49,658,600"
4-Mar-26,264.65,266.15,261.42,262.52,262.52,"39,803,100"
3-Mar-26,263.48,265.56,260.13,263.75,263.75,"38,568,900"
2-Mar-26,262.41,266.53,260.2,264.72,264.72,"41,827,900"
27-Feb-26,272.81,272.81,262.89,264.18,264.18,"72,366,500"
26-Feb-26,274.95,276.11,270.8,272.95,272.95,"32,345,100"
25-Feb-26,271.78,274.94,271.05,274.23,274.23,"33,714,300"
24-Feb-26,267.86,274.89,267.71,272.14,272.14,"47,014,600"
23-Feb-26,263.49,269.43,263.38,266.18,266.18,"37,308,200"
20-Feb-26,258.97,264.75,258.16,264.58,264.58,"42,070,500"
19-Feb-26,262.6,264.48,260.05,260.58,260.58,"30,845,300"
18-Feb-26,263.6,266.82,262.45,264.35,264.35,"34,203,300"
17-Feb-26,258.05,266.29,255.54,263.88,263.88,"58,469,100"
13-Feb-26,262.01,262.23,255.45,255.78,255.78,"56,290,700"
12-Feb-26,275.59,275.72,260.18,261.73,261.73,"81,077,200"
11-Feb-26,274.7,280.18,274.45,275.5,275.5,"51,931,300"
10-Feb-26,274.89,275.37,272.94,273.68,273.68,"34,376,900"
9-Feb-26,277.91,278.2,271.7,274.62,274.62,"44,623,400"
6-Feb-26,277.12,280.91,276.93,278.12,277.86,"50,453,400"
5-Feb-26,278.13,279.5,273.23,275.91,275.65,"52,977,400"
4-Feb-26,272.29,278.95,272.29,276.49,276.23,"90,545,700"
3-Feb-26,269.2,271.88,267.61,269.48,269.23,"64,394,700"
2-Feb-26,260.03,270.49,259.21,270.01,269.76,"73,913,400"
30-Jan-26,255.17,261.9,252.18,259.48,259.24,"92,443,400"
29-Jan-26,258,259.65,254.41,258.28,258.04,"67,253,000"
28-Jan-26,257.65,258.86,254.51,256.44,256.2,"41,288,000"
27-Jan-26,259.17,261.95,258.21,258.27,258.03,"49,648,300"
26-Jan-26,251.48,256.56,249.8,255.41,255.17,"55,969,200"
23-Jan-26,247.32,249.41,244.68,248.04,247.81,"41,689,000"
22-Jan-26,249.2,251.0,248.15,248.35,248.12,"39,708,300"
21-Jan-26,248.7,251.56,245.18,247.65,247.42,"54,641,700"
20-Jan-26,252.73,254.79,243.42,246.7,246.47,"80,267,500"
16-Jan-26,257.9,258.9,254.93,255.53,255.29,"72,142,800"
15-Jan-26,260.65,261.04,257.05,258.21,257.97,"39,388,600"
14-Jan-26,259.49,261.82,256.71,259.96,259.72,"40,019,400"
13-Jan-26,258.72,261.81,258.39,261.05,260.81,"45,730,800"
12-Jan-26,259.16,261.3,256.8,260.25,260.01,"45,263,800"
9-Jan-26,259.08,260.21,256.22,259.37,259.13,"39,997,000"
8-Jan-26,257.02,259.29,255.7,259.04,258.8,"50,419,300"
7-Jan-26,263.2,263.68,259.81,260.33,260.09,"48,309,800"
6-Jan-26,267,267.55,262.12,262.36,262.11,"52,352,100"
5-Jan-26,270.64,271.51,266.14,267.26,267.01,"45,647,200"
2-Jan-26,272.26,277.84,269.0,271.01,270.76,"37,838,100"
31-Dec-25,273.06,273.68,271.75,271.86,271.61,"27,293,600"
30-Dec-25,272.81,274.08,272.28,273.08,272.82,"22,139,600"
29-Dec-25,272.69,274.36,272.35,273.76,273.5,"23,715,200"
26-Dec-25,274.16,275.37,272.86,273.4,273.14,"21,521,800"
24-Dec-25,272.34,275.43,272.2,273.81,273.55,"17,910,600"
23-Dec-25,270.84,272.5,269.56,272.36,272.11,"29,642,000"
22-Dec-25,272.86,273.88,270.51,270.97,270.72,"36,571,800"
19-Dec-25,272.15,274.6,269.9,273.67,273.41,"144,632,000"
18-Dec-25,273.61,273.63,266.95,272.19,271.94,"51,630,700"
17-Dec-25,275.01,276.16,271.64,271.84,271.59,"50,138,700"
16-Dec-25,272.82,275.5,271.79,274.61,274.35,"37,648,600"
15-Dec-25,280.15,280.15,272.84,274.11,273.85,"50,409,100"
12-Dec-25,277.9,279.22,276.82,278.28,278.02,"39,532,900"
11-Dec-25,279.1,279.59,273.81,278.03,277.77,"33,248,000"
10-Dec-25,277.75,279.75,276.44,278.78,278.52,"33,038,300"
9-Dec-25,278.16,280.03,276.92,277.18,276.92,"32,193,300"
8-Dec-25,278.13,279.67,276.15,277.89,277.63,"38,211,800"
5-Dec-25,280.54,281.14,278.05,278.78,278.52,"47,265,800"
4-Dec-25,284.1,284.73,278.59,280.7,280.44,"43,989,100"
3-Dec-25,286.2,288.62,283.3,284.15,283.88,"43,538,700"
2-Dec-25,283,287.4,282.63,286.19,285.92,"53,669,500"
1-Dec-25,278.01,283.42,276.14,283.1,282.84,"46,587,700"
28-Nov-25,277.26,279.0,275.99,278.85,278.59,"20,135,600"
26-Nov-25,276.96,279.53,276.63,277.55,277.29,"33,431,400"
25-Nov-25,275.27,280.38,275.25,276.97,276.71,"46,914,200"
24-Nov-25,270.9,277.0,270.9,275.92,275.66,"65,585,800"
21-Nov-25,265.95,273.33,265.67,271.49,271.24,"59,030,800"
20-Nov-25,270.83,275.43,265.92,266.25,266,"45,823,600"
19-Nov-25,265.53,272.21,265.5,268.56,268.31,"40,424,500"
18-Nov-25,269.99,270.71,265.32,267.44,267.19,"45,677,300"
17-Nov-25,268.82,270.49,265.73,267.46,267.21,"45,018,300"
14-Nov-25,271.05,275.96,269.6,272.41,272.16,"47,431,300"
