Date,Open,High,Low,Close,Adj Close,Volume
19-Mar-26,390.1,392.49,387.06,389.02,389.02,"25,138,800"
18-Mar-26,397.13,398.0,391.0,391.79,391.79,"25,908,500"
17-Mar-26,400.27,404.4,397.75,399.41,399.41,"26,228,300"
16-Mar-26,398.07,400.63,394.79,399.95,399.95,"27,733,700"
13-Mar-26,401,404.8,394.25,395.55,395.55,"26,848,000"
12-Mar-26,404.63,406.12,401.71,401.86,401.86,"27,263,900"
11-Mar-26,405.57,409.01,401.59,404.88,404.88,"25,512,100"
10-Mar-26,410.03,410.2,402.93,405.76,405.76,"31,706,400"
9-Mar-26,404.92,410.21,403.5,409.41,409.41,"30,131,900"
6-Mar-26,409.2,413.05,408.51,408.96,408.96,"31,123,900"
5-Mar-26,404.42,411.61,404.4,410.68,410.68,"39,001,300"
4-Mar-26,401.27,411.03,400.31,405.2,405.2,"35,808,000"
3-Mar-26,393.14,406.7,392.67,403.93,403.93,"38,199,200"
2-Mar-26,392.86,401.19,390.63,398.55,398.55,"35,474,900"
27-Feb-26,390.88,396.82,389.88,392.74,392.74,"51,367,200"
26-Feb-26,404.71,407.49,398.74,401.72,401.72,"34,405,900"
25-Feb-26,390.53,401.47,390.16,400.6,400.6,"43,625,500"
24-Feb-26,384.14,389.36,381.71,389,389,"33,884,700"
23-Feb-26,395,395.36,383.1,384.47,384.47,"43,238,300"
20-Feb-26,396.11,400.12,395.16,397.23,397.23,"34,015,200"
19-Feb-26,400.69,404.43,396.67,398.46,398.46,"28,234,000"
18-Feb-26,398.13,402.56,396.32,399.6,398.69,"23,223,400"
17-Feb-26,399.22,400.52,394.53,396.86,395.96,"32,078,800"
13-Feb-26,404.45,405.54,398.05,401.32,400.41,"34,091,600"
12-Feb-26,405,406.2,398.01,401.84,400.92,"40,802,400"
11-Feb-26,416.18,416.46,401.01,404.37,403.45,"42,491,000"
10-Feb-26,419.62,423.68,412.7,413.27,412.33,"44,857,900"
9-Feb-26,404.85,414.89,400.87,413.6,412.66,"45,480,500"
6-Feb-26,399.17,401.79,392.92,401.14,400.23,"53,515,300"
5-Feb-26,407.44,408.3,392.32,393.67,392.77,"66,289,200"
4-Feb-26,411,419.8,409.24,414.19,413.25,"45,012,400"
3-Feb-26,422.01,422.05,408.56,411.21,410.27,"61,424,100"
2-Feb-26,430.24,430.74,422.25,423.37,422.41,"42,219,900"
30-Jan-26,439.17,439.6,426.45,430.29,429.31,"58,566,800"
29-Jan-26,439.99,442.5,421.02,433.5,432.51,"128,855,300"
28-Jan-26,483.21,483.74,478.0,481.63,480.53,"36,875,400"
27-Jan-26,473.7,482.87,473.16,480.58,479.49,"29,213,900"
